Word				Count
excellent				2
except				4
exclaimed				5
exclaimed.				1
exclamation				1
execute				1
executed				5
executed.				1
executes				1
execution				1
execution.				2
executioner				6
executions				2
existence				1
expected				1
expecting				3
experiment				2
explain				10
explained				1
explanation				1
explanation.				1
explanations				1
expressing				1
expression				1
extra.				1
extraordinary				2
extras				1
extremely				2
eye				7
eyed				1
eyelids				1
eyes				26
eyes.				3
face				12
face.				3
faces				4
faces.				1
fact				6
fact.				2
fading				1
failure.				1
faint				1
fainting				1
faintly				1
fair				1
fairly				1
fairy				1
fall				7
fallen				4
falling				2
familiarly				1
family				1
fan				10
fancied				2
fancy				7
fancying				1
fanned				1
fanning				1
far				13
farm				1
farmer				1
farther				1
fashion				1
fashion.				1
fast				4
faster				3
fat				1
father				6
favoured				1
favourite				1
fear				4
feared				1
feather				1
feathers				1
feeble				2
feebly				1
feel				8
feeling				7
feelings				1
feelings.				1
feet				19
fell				6
fellow				4
fellows				1
felt				23
fender				1
ferrets				2
fetch				7
few				9
fidgeted.				1
field				1
fifteen				1
fifteenth				1
fifth				1
fig				1
fight				2
fighting				1
figure				3
figures				1
filled				3
fills				1
find				21
finding				3
finds				1
fine				2
finger				5
finish				5
finished				10
finished.				2
finishing				1
fire				4
fireplace				1
first				49
first.				2
fish				8
fishes				1
fit				3
fits				1
fitted				1
five				7
five.				1
fix				1
fixed				1
flame				1
flamingo				4
flamingo.				1
flamingoes				2
flapper				1
flappers				1
flashed				1
flat				2
flavour				1
flew				1
flinging				1
flock				1
floor				3
flower				2
flowers				2
flown				1
flung				1
flurry				1
flustered				1
fluttered				1
fly				3
flying				1
folded				3
folding				1
follow				2
followed				8
follows				3
fond				4
foolish				1
foot				9
foot.				1
footman				13
footman.				1
footmen				1
footsteps				2
for				152
for.				1
forehead				2
forepaws				1
forget				2
forgetting				3
forgot				2
forgotten				6
fork				1
form				1
fortunately				1
forty				1
forwards				1
found				32
fountains				1
fountains.				1
four				8
fourteenth				1
fourth.				1
frame				1
frames				1
france				1
free				3
french				4
friend				2
friend.				1
friends				2
fright				1
fright.				1
frighten				1
frightened				7
frog				3
from				36
front				2
frontispiece				1
frowning				4
frying				1
ful				1
full				6
fumbled				1
fun				3
funny				3
fur				2
fur.				1
furious				1
furiously				1
furrow				1
furrows				1
further				2
further.				1
fury				3
gained				1
gallons				1
game				11
game.				2
games				1
garden				12
garden.				4
gardeners				8
gather				1
gave				15
gay				1
gazing				1
general				3
generally				7
gently				3
geography.				1
get				46
getting				22
giddy.				2
girl				4
girls				3
give				12
given				1
giving				2
glad				11
glanced				1
glaring				1
glass				7
glass.				3
globe				1
gloomily				1
gloves				10
gloves.				1
go				49
go.				1
goes				7
going				27
golden				7
goldfish				2
gone				12
gone.				1
good				27
goose				2
got				45
graceful				1
grammar				1
grand				3
grant				1
grass				4
grave				3
gravely				2
gravely.				1
gravy				1
grazed				1
great				39
green				4
grew				1
grey				1
grief				1
grin				5
grin.				1
grinned				3
grinning				1
grins				1
ground				6
ground.				2
grow				13
growing				10
growing.				1
growl				3
growled				1
growling				1
growls				1
grown				7
grumbled				1
grunt				1
grunted				4
gryphon				40
gryphon.				15
guard				1
guess				3
guessed				3
guests				3
guilt				1
guinea				6
had				178
hadn				8
hair				6
hair.				1
half				23
hall				8
hall.				1
hand				20
hand.				1
handed				3
hands				12
handsome				1
handwriting				1
hanging				3
happen				8
happened				5
happened.				2
happening.				1
happens				4
happens.				1
happy				1
hard				8
hardly				12
hare				20
hare.				11
harm				1
has				7
hasn				2
haste				1
hastily				12
hastily.				4
hat				1
hatching				1
hate				2
hated				1
hatter				42
hatter.				14
hatters				1
have				80
haven				8
having				10
he				125
head				45
head.				5
heads				9
heads.				1
heap				1
hear				14
heard				30
hearing				3
hearing.				1
heart				2
hearth				1
hearthrug				1
hearts				6
hearts.				2
heavy				2
hedge				1
hedge.				1
hedgehog				6
hedgehog.				1
hedgehogs				3
hedges				1
heels				1
height				4
height.				1
held				4
help				9
helped				1
helpless				1
her				235
her.				13
herald				1
here				46
here.				5
hers				4
herself				75
herself.				8
hid				1
hide				1
high				13
high.				3
highest				1
him				40
him.				3
himself				6
hint				2
hippopotamus				1
his				96
hiss				1
histories				1
history				6
history.				1
hit				2
hjckrrh				1
hm				1
hoarse				3
hoarsely				1
hold				10
holding				3
hole				5
holiday				1
hollow				1
home				5
honest				1
honour				4
hookah				5
hope				3
hoped				1
hopeful				1
hopeless				1
hoping				3
horse				1
hot				7
hour				2
hours				4
house				18
housemaid				1
houses				1
how				68
however				20
howled				1
howling				3
humble				1
humbly				2
hundred				1
hung				1
hungry				3
hunting				3
hurried				11
hurriedly				2
hurry				8
hurry.				3
hurrying				1
hurt				3
hush				3
i				544
i.				1
idea				15
idiot				1
idiotic				1
if				96
ignorant				1
ii.				1
iii.				1
ill.				2
imagine				2
imitated				1
immediate				1
immediately				3
immense				1
impatient				1
impatiently				5
impertinent				1
important				7
impossible				2
impossible.				1
improve				1
in				367
in.				2
incessantly				1
inches				6
inclined				1
indeed				15
indeed.				1
indignant				1
indignantly				1
indignantly.				3
injure				1
ink				1
inkstand				1
inquired				1
inquisitively				1
inside				2
insolence				1
instance				3
instantly				5
instead				3
insult				1
interest				1
interesting				4
interesting.				1
interrupt				1
interrupted				8
interrupted.				1
interrupting				2
into				67
introduce				2
introduced				1
invent				1
invented				1
invitation				2
invited				2
involved				1
inwards				1
irons				1
irritated				1
is				105
is.				3
isn				7
it				568
it.				27
its				57
itself				13
itself.				1
iv.				1
ix.				1
jack				1
jar				2
jaw				1
jaws				2
jelly				1
jogged				1
join				9
joined				3
journey				1
joys				1
judge				4
judging				1
jug				1
jumped				6
jumping				4
juror				1
jurors				3
jurors.				1
jury				20
jury.				2
jurymen				2
jurymen.				2
just				52
justice				1
keep				11
keeping				2
kept				13
kettle				1
key				9
kick				3
kid				5
kill				1
killing				1
kills				1
kind				7
kindly				2
king				51
king.				12
kings				1
kiss				1
kissed				1
kitchen				3
kitchen.				1
knave				8
knave.				1
knee				4
knee.				1
kneel				1
knelt				1
knew				15
knife				2
knife.				1
knock				1
knocked.				1
knocking				3
knot				2
know				70
know.				17
knowing				2
knowledge				2
knowledge.				1
known				1
knows				2
knuckles.				1
label				2
labelled				1
lacie				1
lad				1
ladder				1
lady				3
laid				2
lamps				1
land				1
languid				1
lap				2
large				33
larger				7
largest				1
lark				1
last				33
lasted				1
lasted.				1
lastly				1
late				5
late.				1
lately				1
later				2
later.				1
latin				1
latitude				2
laugh				1
laughed				2
laughing				2
laughter.				1
law				2
lay				4
lazily				1
lazy				1
leaders				1
leading				1
leaning				2
leant				1
leap				1
learn				7
learned				1
learning				2
learnt				2
least				9
leave				9
leaves				5
leaves.				1
leaving				1
led				4
ledge				1
left				14
lefthand				2
legged				2
legs				3
length				1
less				4
lessen				1
lesson				3
lessons				10
lest				1
let				22
letter				3
letters.				1
lewis				1
licking				1
lie				2
life				9
life.				3
lifted				1
like				84
like.				1
liked				5
liked.				1
likely				5
likes.				1
limbs				1
line				2
lines				1
linked				1
lips.				1
list				3
listen				5
listen.				2
listened				1
listeners				1
listening				3
lit				1
little				127
little.				1
live				7
live.				1
lived				3
livery				3
lives				3
lives.				1
living				2
lizard				6
ll				57
lobster				7
lobsters				7
lock				1
locked				1
locks				2
lodging				1
london				1
lonely				2
long				32
longed				2
longer				3
longitude				2
look				29
looked				45
looking				32
loose				1
lory				6
lory.				1
lose				1
losing				1
lost				3
loud				5
loud.				1
louder				1
loudly				2
loudly.				1
love				3
loveliest				1
lovely				2
loving				1
low				14
low.				1
lower				1
lowing				1
luckily				2
lullaby				1
lying				8
m				63
ma				3
mabel				4
machines				1
mad				10
mad.				5
made				29
made.				1
magic				1
magpie				1
majesty				12
make				27
makes				11
making				8
mallets				1
man				4
man.				1
manage				7
managed				4
managing				1
manner				2
manners				1
many				12
maps				1
march				33
march.				1
marched				1
mark				3
marked				6
marmalade				1
mary				4
master				4
matter				9
matters				2
may				13
maybe				2
mayn				1
me				66
me.				2
meal				1
mean				10
meaning				7
meaning.				1
means				4
means.				1
meant				5
meanwhile				1
measure				1
meat				1
meekly				2
meet				2
meeting				1
melancholy				6
memorandum				1
memory				1
men				1
mentioned				3
mercia				2
merely				2
merrily				1
messages				2
met				3
mice				4
middle				6
middle.				1
might				28
mile				2
miles				3
milk				2
mind				10
mind.				1
minded				1
minding				1
mine				9
mine.				1
mineral				1
minute				20
minute.				1
minutes				9
minutes.				2
mischief				1
miserable				2
miss				4
missed				2
mistake				3
mixed				2
mock				56
moderate.				1
modern				1
moment				30
moment.				1
month				2
moon				1
moral				8
morals				1
morcar				2
more				47
more.				2
morning				5
morsel				1
most				8
mostly				2
mournful				1
mournfully.				1
mouse				42
mouse.				2
mouth				10
mouths				3
mouths.				1
move				2
move.				1
moved				4
moved.				1
moving				3
much				50
much.				1
muchness				3
muddle				1
multiplication				1
murder				1
murdering				1
muscular				1
mushroom				8
music				1
music.				2
must				44
mustard				3
muttered				2
muttering				3
my				58
myself				6
myself.				1
mystery				2
name				10
names				2
narrow				2
nasty				1
natural				4
natured				1
naturedly				1
nay				1
near				14
near.				1
nearer				5
nearly				11
neat				1
neatly				2
neck				7
needn				3
needs				1
neighbour				1
neighbouring				1
neither				2
nervous				5
nest.				1
never				48
nevertheless				1
new				5
newspapers				1
next				27
next.				3
nibbled				2
nibbling				3
nice				6
nicely				2
night				5
nile				1
nine				5
no				90
nobody				8
nodded.				1
noise				3
noises				1
none				4
nonsense				5
nonsense.				2
nor				3
normans				1
northumbria				2
nose				7
nose.				1
not				141
not.				4
note				2
nothing				30
nothing.				4
notice				5
noticed				8
noticing				1
notion				3
now				55
now.				5
nowhere				2
number				5
nurse				3
nursing				3
o				6
obliged				3
oblong				1
obstacle				1
occasional				1
occasionally				1
occurred				2
odd				1
of				514
off				67
off.				6
offend				1
offended				9
offended.				1
offer				2
officer				1
officers				4
often				5
oh				45
ointment				1
old				19
older				2
oldest				1
on				183
on.				10
once				30
once.				4
one				103
one.				1
ones				1
oneself				1
onions.				1
only				50
oop				7
ootiful				4
open				7
opened				10
opening				3
opinion				1
opportunity				8
opposite				1
or				77
orange				1
order				3
ordered				3
ordered.				1
ordering				2
ornamented				2
other				37
other.				3
others				5
others.				2
otherwise				3
otherwise.				1
ou				1
ought				14
our				8
ours				1
ourselves				1
out				114
out.				3
outside				2
outside.				2
over				38
over.				2
overcome				1
overhead				1
owl				3
own				9
own.				1
oyster				1
pace				1
pack				5
paint				1
painting				2
pair				5
pairs				1
pale				4
pan				1
panted				1
panther				3
panting				2
paper				3
paper.				1
parchment				2
pardon				6
pardoned.				1
paris				2
part				1
part.				1
particular				3
particular.				1
partner				1
partners				1
parts				1
party				9
party.				1
pass				1
passage				4
passed				5
passing				1
passion				2
passion.				1
passionate				1
past				3
pat				3
patience				1
patiently				1
patiently.				1
patriotic				1
patted				1
pattering				3
pattern				1
pause				1
pause.				1
paused				1
paw				3
paws				3
paws.				1
pebbles				2
peeped				3
peeping				1
peering				1
pegs.				1
pence.				1
pencil				2
pencils				1
pennyworth				2
people				12
people.				1
pepper				8
perfectly				4
perhaps				17
permitted				1
persisted				1
persisted.				1
person				4
personal				2
persons				1
pet				1
picked				3
picking				2
picture.				1
pictured				1
pictures				4
pie				3
piece				6
pieces				2
pieces.				1
pig				11
pigeon				10
pigeon.				2
pigs				6
pinch				2
pinched				2
pine				1
pink				1
piteous				1
pitied				1
pity				2
pity.				1
place				8
placed				1
places				2
plainly				1
plan				3
plan.				1
planning				1
plate				2
plate.				1
plates				2
play				8
played				1
players				4
playing				2
pleaded				3
pleasant				1
pleasanter				1
please				19
pleased				6
pleased.				1
pleases				1
pleasing				1
pleasure				2
plenty				2
pocket				7
pointed				1
pointing				4
poison				3
poker				1
poky				1
politely				6
pool				11
poor				27
pop				1
pope				1
porpoise				3
porpoise.				1
position				2
positively				1
possible				1
possibly				3
pot				1
pounds				1
pour				1
poured				1
powdered				1
practice				1
pray				3
precious				1
present				3
presented				1
presently				2
presents				2
pressed				3
pressing				1
pretend				1
pretending				1
pretexts				1
prettier.				1
pretty				1
prevent				1
printed				1
prison				1
prisoner				2
prize				1
prizes				3
prizes.				2
proceed				1
proceed.				1
procession				5
processions				1
produced				1
producing				1
promise.				1
promised				1
promising				1
pronounced				1
proper				3
proposal.				1
prosecute				1
protection.				1
proud				2
prove				1
proved				2
proves				2
provoking				1
puffed				1
pulled				1
pulling				1
pun				1
punching				1
punished				1
puppy				7
purple.				1
purpose				1
purring				2
push				1
puss				1
put				31
putting				3
puzzle				1
puzzled				6
puzzled.				3
puzzling				4
quadrille				4
quarrel				1
quarrelled				1
quarrelling				2
queen				64
queen.				11
queens				1
queer				12
queerest				1
question				14
question.				3
questions				3
questions.				1
quick				2
quicker.				1
quickly				2
quiet				2
quietly				5
quite				55
quiver				1
rabbit				50
rabbit.				1
rabbits.				1
race				5
race.				1
railway				2
raised				2
raising				1
ran				15
ran.				1
rapidly				2
rapped				1
rat				1
rate				9
rather				25
rats				1
rattle				1
rattling				2
raven				1
ravens				1
raving				2
raw.				1
re				38
reach				4
reaching				1
read				11
readily				1
reading				3
ready				8
real				3
reality				1
really				13
rearing				1
reason				9
reasonable				1
reasons.				1
received				1
recognised				1
recovered				2
red				2
red.				1
reduced				1
reeds				1
reeling				1
refreshments				1
refused				1
regular				2
relief.				2
relieved				1
remain				1
remained				3
remaining				1
remark				7
remark.				3
remarkable				2
remarked				5
remarked.				5
remarking				3
remarks				3
remedies				1
remember				14
remembered				5
remembering				1
reminding				1
removed				2
repeat				7
repeated				10
repeating				3
replied				24
replied.				5
reply				2
reply.				3
resource				1
respect.				1
respectable				1
respectful				1
rest				10
resting				2
result				1
retire				1
returned				2
returning				1
rich				1
riddle				1
riddles				1
riddles.				1
ridge				1
ridges				1
ridiculous				1
right				32
righthand				1
rightly				1
ring				2
ringlets				2
riper				1
rippling				1
rise				1
rises				1
rising				1
roared				1
roast				1
rock				1
rocket				1
rome				2
roof				5
roof.				1
room				12
room.				1
roots				2
rope				1
rose				4
roses				2
roses.				1
rosetree				1
roughly				1
round				38
round.				3
row				2
royal				2
rubbed				1
rubbing				2
rude				1
rude.				1
rudeness				1
rule				5
rules				3
rumbling				1
run				4
running				8
rush				2
rushed				1
rustled				1
rustling				1
s				201
sad				3
sadly				3
sadly.				2
safe				2
sage				1
said				458
said.				4
salmon				1
salt				2
same				24
sand				1
sands				1
sang				2
sat				17
saucepan				1
saucepans				1
saucer				1
savage				4
save				1
saves				1
saw				13
saw.				1
say				47
say.				4
saying				14
saying.				1
says				4
scale				1
scaly				1
school				6
schoolroom				1
scolded				1
scrambling				1
scratching				1
scream				2
screamed				4
screaming				1
scroll				2
sea				10
sea.				4
seals				1
seaography				1
search				1
seaside				1
seated				1
second				4
secondly				2
secret				1
see				66
see.				1
seeing				1
seem				8
seemed				27
seems				5
seen				15
seldom				1
sell				2
send				1
sending				2
sends				1
sensation				2
sense				3
sent				2
sentence				6
sentenced				1
series				1
seriously				1
serpent				8
serpent.				1
serpents				3
set				14
setting				1
settle				1
settled				3
settling				1
seven				5
seven.				1
several				4
severely				3
severely.				1
severity				1
sh				2
shade				1
shake				1
shakespeare				1
shaking				3
shall				25
shan				6
shape				1
shaped				3
share				1
shared				1
sharing				1
shark				1
sharks				1
sharp				6
sharply				3
sharply.				1
she				553
shedding				1
sheep				1
shelves				2
shepherd				1
shifting				1
shilling				1
shillings				1
shingle				1
shining				1
shiny				1
shiver.				1
shock				1
shoes				6
shoes.				1
shook				9
shore				3
shore.				1
short				4
shorter				1
shorter.				1
should				27
shoulder				4
shoulders				3
shoulders.				1
shouldn				5
shouted				9
shouting				2
show				3
shower				2
showing				2
shriek				5
shrieked				1
shrieks				1
shrill				5
shrimp				1
shrink				1
shrinking				4
shut				4
shut.				1
shutting				2
shy				1
shyly				1
side				15
side.				2
sides				4
sigh				3
sigh.				1
sighed				5
sighing				2
sighing.				1
sight				9
sight.				1
sign				1
signed				2
signifies				1
signify				1
silence				9
silence.				5
silent				5
silent.				2
simple				5
simpleton.				1
simply				3
since				4
sing				6
singers				1
singers.				1
singing				2
sink				1
sir				7
sister				9
sisters				2
sit				8
sits				1
sitting				10
six				2
sixpence.				1
sixteenth				1
size				13
sizes				1
skimming				1
skirt				1
skurried				1
sky				3
sky.				2
slate				3
slate.				1
slates				7
slates.				1
sleep				6
sleepy				5
slightest				1
slipped				3
slippery				1
slowly				8
sluggard				1
small				9
small.				1
smaller				3
smallest				2
smile				1
smile.				1
smiled				2
smiling				2
smoke				1
smoking				2
snail				2
snail.				1
snappishly.				1
snatch				2
sneeze				2
sneezed				1
sneezes				2
sneezing				5
sneezing.				1
snorting				1
snout				1
so				148
so.				3
sob				1
sobbed				1
sobbing				3
sobs				3
sobs.				1
soft				1
softly				1
soldier				1
soldiers				10
solemn				3
solemnly				3
solemnly.				1
soles				1
solid				1
some				51
somebody				6
somebody.				1
somehow				1
someone				1
somersault				2
something				18
sometimes				5
somewhere				2
somewhere.				1
son				1
song				6
song.				1
soo				7
soon				24
soon.				1
sooner				2
soothing				1
sorrow				2
sorrowful				2
sorrows				1
sorry				1
sort				19
sort.				1
sorts				3
sound				3
sound.				1
sounded				5
sounds				4
soup				17
soup.				1
sour				1
spades				1
speak				14
speak.				1
speaker				1
speaking				5
spectacles				2
spectacles.				1
speech				2
speech.				1
speed				1
spell				1
spirited.				1
spite				1
splash				1
splashed				1
splashing				2
splendidly				1
spoke				11
spoke.				6
spoken				1
spoon				2
spot.				1
sprawling				1
spread				3
spreading				1
squeaked.				1
squeaking				2
squeeze				1
squeezed				1
stairs				2
stairs.				1
stalk				1
stamping				2
stand				6
standing				1
star				1
staring				3
started				2
startled				2
state				1
station.				1
stay				5
stays				1
steady				1
steam				1
sternly.				1
stick				4
sticks				1
stiff.				1
stigand				1
still				13
stingy				1
stirring				2
stockings				1
stole				2
stolen				1
stood				7
stool				1
stoop				2
stop				4
stop.				2
stopped				3
stopping				1
story				6
story.				2
straight				2
straightened				1
straightening				1
strange				5
strength				1
stretched				2
stretching				2
strings				1
struck				2
stuff				4
stupid				6
stupidest				1
stupidly				1
subdued				1
subject				4
subject.				2
subjects				1
submitted				1
succeeded				3
such				41
sudden				5
suddenly				13
suet				1
sugar				2
suit				3
sulkily				2
sulky				3
summer				2
sun				1
sun.				1
supple				1
suppose				13
suppose.				1
suppress				1
suppressed				3
suppressed.				1
sure				24
surprise				3
surprise.				2
surprised				7
swallow				1
swallowed				1
swallowing				1
swam				5
sweet				1
swim				4
swim.				1
swimming				2
t				218
table				15
table.				3
tail				7
tail.				2
tails				3
take				22
taken				4
takes				2
taking				5
tale				4
tales				1
talk				13
talk.				1
talking				15
talking.				2
taller				2
tart				1
tarts				7
taste				2
tasted				3
tastes				1
taught				4
tea				18
tea.				1
teaching				1
teacup				3
teacups				2
teapot.				1
tears				9
tears.				2
teases.				1
teeth				1
telescope				2
telescope.				1
